
********************************************************************************
Slippage report report produced on 10/05/2023 22:35 from 02/09/2022 22:35 to 10/05/2023 22:35
********************************************************************************


Slippage calculations: First three columns are slippage (mid to executed price) from 3 sources:
- bid_ask_trades: The difference between the mid price and bid/ask price when a trade is entered
- total_trades: The difference between the mid price and actual fill price when a trade occurs
- bid_ask_sampled: The difference between mid and bid/ask when a regular sample is taken, not when trading

The following three columns show how our estimate of slippage is calculated using weights
- weight_trades: Weighting given to trades (most conservative of bid_ask_trades and total_trades)
- weight_samples: Weighting given to samples
- weight_config: Weighting given to current configured value

The weights vary depending on how many trades and samples we have

Finally we have:
- The estimate based on the calculations above
- The current configured value
- The % difference between these values (estimate and configured). Positive means the estimate is higher (costs not conservative enough)

==============================================================================================================================================
                                                      Check of slippage, in price units                                                       
==============================================================================================================================================

                 bid_ask_trades  total_trades  bid_ask_sampled  weight_trades  weight_samples  weight_config  estimate  Configured  Difference
EDOLLAR_fsb                 NaN           NaN              NaN            0.0            0.00           1.00     80.00        80.0         0.0
EDOLLAR                     NaN           NaN              NaN            0.0            0.00           1.00       NaN         NaN         0.0
PLAT_fsb                    NaN           NaN           125.00            0.0            0.85           0.15    125.00       125.0         0.0
CORN                        NaN           NaN              NaN            0.0            0.00           1.00       NaN         NaN         0.0
WHEAT_fsb                   NaN           NaN            50.00            0.0            0.74           0.26     50.00        50.0         0.0
ROBUSTA_fsb                 NaN           NaN           200.00            0.0            0.33           0.67    200.00       200.0         0.0
US10                        NaN           NaN              NaN            0.0            0.00           1.00       NaN         NaN         0.0
GASOLINE_fsb                NaN           NaN          1500.00            0.0            0.89           0.11   1500.00      1500.0         0.0
GBP_fsb                     NaN           NaN           525.00            0.0            0.93           0.07    525.00       525.0         0.0
CRUDE_W_fsb                 NaN           NaN           300.00            0.0            0.91           0.09    300.00       300.0         0.0
BUND_fsb                    NaN           NaN           150.00            0.0            0.81           0.19    150.00       150.0         0.0
ASX_fsb                     NaN           NaN           200.00            0.0            0.86           0.14    200.00       200.0         0.0
EUROSTX_fsb                 NaN           NaN           100.00            0.0            0.72           0.28    100.00       100.0         0.0
NASDAQ_fsb                  NaN           NaN           150.00            0.0            0.93           0.07    150.00       150.0         0.0
JPY_fsb                     NaN           NaN           500.00            0.0            0.93           0.07    500.00       500.0         0.0
COPPER_fsb                  NaN           NaN          2000.00            0.0            0.92           0.08   2000.00      2000.0         0.0
CAC_fsb                     NaN           NaN           200.00            0.0            0.90           0.10    200.00       200.0         0.0
HEATOIL_fsb                 NaN           NaN          1500.00            0.0            0.90           0.10   1500.00      1500.0         0.0
HANG_fsb                    NaN           NaN           800.00            0.0            0.92           0.08    800.00       800.0         0.0
COCOA_fsb                   NaN           NaN           400.00            0.0            0.46           0.54    400.00       400.0         0.0
PALLAD_fsb                  NaN           NaN           400.00            0.0            0.80           0.20    400.00       400.0        -0.0
SOYMEAL_fsb                 NaN           NaN          4000.00            0.0            0.76           0.24   4000.00      4000.0        -0.0
DOW_fsb                     NaN           NaN           360.00            0.0            0.93           0.07    360.00       360.0        -0.0
DX_fsb                      NaN           NaN           394.29            0.0            0.90           0.10    394.46       396.0        -0.4
EUR_fsb                     NaN           NaN           538.57            0.0            0.93           0.07    538.96       544.0        -0.9
AUD_fsb                     NaN           NaN           534.50            0.0            0.93           0.07    534.89       540.0        -0.9
COTTON2_fsb                 NaN           NaN          1250.00            0.0            0.72           0.28   1257.69      1277.0        -1.5
CHF_fsb                     NaN           NaN           485.50            0.0            0.93           0.07    486.25       496.0        -2.0
CAD_fsb                     NaN           NaN           385.00            0.0            0.93           0.07    385.79       396.0        -2.6
NZD_fsb                     NaN           NaN           290.00            0.0            0.93           0.07    290.65       299.0        -2.8
GASOIL_fsb                  NaN           NaN            50.00            0.0            0.83           0.17     50.34        52.0        -3.2
OATIES_fsb                  NaN           NaN           354.00            0.0            0.45           0.55    370.61       384.0        -3.5
FTSE100_fsb                 NaN           NaN           200.00            0.0            0.91           0.09    200.94       210.0        -4.3
BOBL_fsb                    NaN           NaN           302.00            0.0            0.79           0.21    305.82       320.0        -4.4
EURGBP_fsb                  NaN           NaN           400.50            0.0            0.90           0.10    402.99       425.0        -5.2
RICE_fsb                    NaN           NaN          2000.00            0.0            0.27           0.73   2365.85      2500.0        -5.4
BRENT_W_fsb                 NaN           NaN           300.00            0.0            0.88           0.12    302.45       320.0        -5.5
COFFEE_fsb                  NaN           NaN          2000.00            0.0            0.65           0.35   2070.26      2200.0        -5.9
GAS_US_fsb                  NaN           NaN           500.00            0.0            0.84           0.16    506.58       540.0        -6.2
OMXS30_fsb                  NaN           NaN            35.00            0.0            0.82           0.18     35.53        38.0        -6.5
EUA_fsb                     NaN           NaN           433.33            0.0            0.73           0.27    445.77       480.0        -7.1
JGB_fsb                     NaN           NaN           223.61            0.0            0.47           0.53    248.29       270.0        -8.0
SHATZ_fsb                   NaN           NaN            62.50            0.0            0.61           0.39     66.17        72.0        -8.1
SUGAR_WHITE_fsb             NaN           NaN            40.00            0.0            0.48           0.52     45.77        51.0       -10.3
GILT_fsb                    NaN           NaN           212.50            0.0            0.82           0.18    219.93       253.0       -13.1
CORN_fsb                    NaN           NaN            50.00            0.0            0.55           0.45     57.68        67.0       -13.9

* indicates currently held position

********************************************************************************
                                 END OF REPORT                                  
********************************************************************************


